Loan_ID,Customer_ID,Age,Employment_Type,Monthly_Income,Location,Credit_Score,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Monthly_Repayment,Amount_Repaid,Outstanding_Amount,Loan_Status,Days_Past_Due,DTIR,LTIR,DTI Score,Credit Score,DPD Score,LTI Score,Employement Type Score,Weigthed Result,Result
LOAN000324,CUST00324,55,Self-employed,1342005,Ibadan,643,Education,1853472,9.34,6,337764.38,0,1853472,Active,0,25%,138%,1,2,1,2,2,8,Medium Risk
LOAN000325,CUST00325,62,Salaried,950493,Lagos,733,Education,343245,9.96,6,62905.37,233653.61,109591.39,Active,20,7%,36%,1,1,1,1,1,5,Low Risk
LOAN000326,CUST00326,36,Salaried,480850,Lagos,785,Business,1118546,8.77,24,50693.44,1342255.2,0,Closed,0,11%,233%,1,1,1,3,1,0,Loan Closed
LOAN000327,CUST00327,41,Salaried,1087854,Port Harcourt,517,Business,555585,14.99,36,17746.31,371871.59,183713.41,Active,0,2%,51%,1,3,1,1,1,7,Low Risk
LOAN000328,CUST00328,61,Self-employed,861258,Abuja,657,Emergency,1241980,13.42,36,39129.27,1490376,0,Closed,0,5%,144%,1,2,1,2,2,0,Loan Closed
LOAN000329,CUST00329,43,Salaried,203074,Kano,647,Education,191626,5.28,12,16811.99,144520.26,47105.74,Active,0,8%,94%,1,2,1,1,1,6,Low Risk
LOAN000330,CUST00330,35,Self-employed,1368208,Lagos,632,Education,1658746,13.31,24,78313.55,1342631.19,316114.81,Active,10,6%,121%,1,2,1,2,2,8,Medium Risk
LOAN000331,CUST00331,55,Salaried,215720,Lagos,584,Education,476136,24.49,12,49395.14,275159.66,200976.34,Active,30,23%,221%,1,3,1,3,1,9,Medium Risk
LOAN000332,CUST00332,25,Self-employed,967474,Ibadan,584,Personal,1825172,9.77,12,166957.61,1350944.89,474227.11,Active,30,17%,189%,1,3,1,2,2,9,Medium Risk
LOAN000333,CUST00333,62,Self-employed,698628,Lagos,662,Business,1430035,19.81,6,285554.16,766707.92,663327.08,Active,10,41%,205%,3,2,1,3,2,11,Medium Risk
LOAN000334,CUST00334,65,Unemployed,1091053,Port Harcourt,830,Personal,1146821,15.34,18,73485.74,772391.78,374429.22,Active,10,7%,105%,1,1,1,2,3,8,Medium Risk
LOAN000335,CUST00335,49,Salaried,111564,Ibadan,780,Education,950358,10.44,6,174929.23,0,950358,Active,0,157%,852%,3,1,1,3,1,9,Medium Risk
LOAN000336,CUST00336,34,Salaried,166264,Lagos,401,Personal,1238846,8.34,12,111847.15,1392246.8,0,Closed,0,67%,745%,3,3,1,3,1,0,Loan Closed
LOAN000337,CUST00337,41,Self-employed,528998,Ibadan,605,Business,55386,5.88,6,9773.78,35845.47,19540.53,Active,30,2%,10%,1,2,1,1,2,7,Low Risk
LOAN000338,CUST00338,44,Unemployed,425308,Port Harcourt,556,Education,1848276,5.71,24,81408.86,605765.97,1242510.03,Active,10,19%,435%,1,3,1,3,3,11,Medium Risk
LOAN000339,CUST00339,43,Salaried,213341,Lagos,850,Emergency,300401,15.04,6,57596.89,125215.32,175185.68,Active,0,27%,141%,1,1,1,2,1,6,Low Risk
LOAN000340,CUST00340,47,Self-employed,642040,Lagos,802,Education,701580,11.55,36,21739.24,723120.97,0,Closed,0,3%,109%,1,1,1,2,2,0,Loan Closed
LOAN000341,CUST00341,55,Salaried,470837,Ibadan,514,Business,1695230,11.08,36,52307.26,1638442.54,56787.46,Active,20,11%,360%,1,3,1,3,1,9,Medium Risk
LOAN000342,CUST00342,58,Self-employed,1196217,Lagos,708,Education,564068,8.01,24,25385.41,334291.47,229776.53,Active,20,2%,47%,1,1,1,1,2,6,Low Risk
LOAN000343,CUST00343,44,Self-employed,53066,Ibadan,735,Personal,839105,21.98,18,56863.35,321680.68,517424.32,Active,10,107%,1581%,3,1,1,3,2,10,Medium Risk
LOAN000344,CUST00344,44,Self-employed,348578,Port Harcourt,605,Emergency,245091,5.88,12,21625.2,166147.77,78943.23,Delinquent,64,6%,70%,1,2,5,1,2,11,Medium Risk
LOAN000345,CUST00345,45,Salaried,228053,Abuja,703,Business,1109958,7.67,24,49795.49,1069209.21,40748.79,Active,0,22%,487%,1,1,1,3,1,7,Low Risk
LOAN000346,CUST00346,38,Salaried,661688,Port Harcourt,789,Emergency,710621,23.52,24,36573.29,456012.71,254608.29,Delinquent,78,6%,107%,1,1,5,2,1,10,Medium Risk
LOAN000347,CUST00347,28,Salaried,620332,Ibadan,723,Emergency,475119,7.72,36,14216.62,202249.13,272869.87,Active,0,2%,77%,1,1,1,1,1,5,Low Risk
LOAN000348,CUST00348,34,Salaried,708575,Lagos,612,Personal,1173915,12.17,12,109731.7,1089311.39,84603.61,Active,30,15%,166%,1,2,1,2,1,7,Low Risk
LOAN000349,CUST00349,27,Self-employed,380543,Lagos,499,Business,687985,21.53,36,23225.23,583301.14,104683.86,Active,20,6%,181%,1,3,1,2,2,9,Medium Risk
LOAN000350,CUST00350,29,Salaried,796046,Lagos,627,Emergency,152656,18.54,18,10053.25,156809.48,0,Closed,0,1%,19%,1,2,1,1,1,0,Loan Closed
LOAN000351,CUST00351,25,Salaried,998334,Lagos,775,Personal,1203687,10,24,55168.99,714006.78,489680.22,Active,10,6%,121%,1,1,1,2,1,6,Low Risk
LOAN000352,CUST00352,22,Salaried,516172,Lagos,480,Personal,1777368,13.01,6,334767.26,957462.62,819905.38,Active,20,65%,344%,3,3,1,3,1,11,Medium Risk
LOAN000353,CUST00353,25,Unemployed,464712,Lagos,722,Emergency,979942,21.19,6,197931.95,277334.61,702607.39,Defaulted,132,43%,211%,3,1,11,3,3,21,High Risk
LOAN000354,CUST00354,61,Salaried,156194,Ibadan,850,Business,1253522,13.66,24,59364.71,458627.59,794894.41,Active,30,38%,803%,2,1,1,3,1,8,Medium Risk
LOAN000355,CUST00355,57,Salaried,792272,Kano,850,Business,442484,10.5,24,20372.7,55496.86,386987.14,Delinquent,33,3%,56%,1,1,5,1,1,9,Medium Risk
LOAN000356,CUST00356,42,Salaried,1407441,Abuja,638,Emergency,914010,22.66,24,46713.53,743369.12,170640.88,Active,20,3%,65%,1,2,1,1,1,6,Low Risk
LOAN000357,CUST00357,63,Self-employed,468293,Port Harcourt,697,Emergency,1721845,15.52,36,55252.09,1009903.89,711941.11,Delinquent,55,12%,368%,1,2,5,3,2,13,High Risk
LOAN000358,CUST00358,29,Self-employed,1191936,Lagos,782,Education,771491,23.25,36,26412.85,569907.8,201583.2,Active,20,2%,65%,1,1,1,1,2,6,Low Risk
LOAN000359,CUST00359,51,Salaried,1302243,Port Harcourt,668,Business,1928554,21.21,18,129866.68,1512503.76,416050.24,Active,30,10%,148%,1,2,1,2,1,7,Low Risk
LOAN000360,CUST00360,65,Salaried,384757,Lagos,643,Business,1427544,9.82,36,43548.02,914936.27,512607.73,Delinquent,89,11%,371%,1,2,5,3,1,12,High Risk
LOAN000361,CUST00361,65,Self-employed,1257313,Port Harcourt,444,Personal,1722249,12.77,12,161848.35,1450720.14,271528.86,Active,20,13%,137%,1,3,1,2,2,9,Medium Risk
LOAN000362,CUST00362,49,Unemployed,787530,Kano,739,Education,1231968,7.84,12,110712.86,425699.61,806268.39,Delinquent,82,14%,156%,1,1,5,2,3,12,High Risk
LOAN000363,CUST00363,18,Salaried,418169,Port Harcourt,627,Business,239283,6.12,36,7053.53,191727.81,47555.19,Active,30,2%,57%,1,2,1,1,1,6,Low Risk
LOAN000364,CUST00364,55,Salaried,323656,Abuja,691,Personal,422160,23.38,18,28936.72,318954.62,103205.38,Active,10,9%,130%,1,2,1,2,1,7,Low Risk
LOAN000365,CUST00365,37,Self-employed,1153720,Port Harcourt,556,Business,202109,12.47,24,9471.33,118854.66,83254.34,Active,20,1%,18%,1,3,1,1,2,8,Medium Risk
LOAN000366,CUST00366,63,Self-employed,380309,Kano,532,Education,966179,20.84,24,48647.11,781400.72,184778.28,Active,10,13%,254%,1,3,1,3,2,10,Medium Risk
LOAN000367,CUST00367,26,Self-employed,518162,Abuja,445,Personal,1758034,8.51,18,105980.15,1533842.17,224191.83,Delinquent,49,20%,339%,1,3,5,3,2,14,High Risk
LOAN000368,CUST00368,29,Salaried,1251321,Kano,706,Education,1666548,24.3,6,345253.19,1764452.18,0,Closed,0,28%,133%,1,1,1,2,1,0,Loan Closed
LOAN000369,CUST00369,33,Salaried,1332159,Port Harcourt,767,Education,1236044,7.08,24,55148.16,1021972.21,214071.79,Active,0,4%,93%,1,1,1,1,1,5,Low Risk
LOAN000370,CUST00370,46,Self-employed,402085,Lagos,771,Education,236071,21.43,18,15925.61,283285.2,0,Closed,0,4%,59%,1,1,1,1,2,0,Loan Closed
LOAN000371,CUST00371,42,Salaried,489739,Ibadan,496,Emergency,192175,12.01,6,35875.87,38000.25,154174.75,Delinquent,34,7%,39%,1,3,5,1,1,11,Medium Risk
LOAN000372,CUST00372,48,Self-employed,398836,Kano,653,Business,1084067,22.64,18,73861.1,609846.69,474220.31,Active,0,19%,272%,1,2,1,3,2,9,Medium Risk
LOAN000373,CUST00373,24,Salaried,391115,Lagos,562,Education,1726032,21.92,18,116909.9,1562572.81,163459.19,Active,20,30%,441%,1,3,1,3,1,9,Medium Risk
LOAN000374,CUST00374,39,Self-employed,406736,Kano,559,Emergency,387441,19.64,36,12875.96,312289.08,75151.92,Defaulted,101,3%,95%,1,3,11,1,2,18,High Risk
LOAN000375,CUST00375,39,Salaried,114997,Abuja,481,Business,1420772,8.3,24,64112.34,804930.79,615841.21,Active,0,56%,1235%,3,3,1,3,1,11,Medium Risk
LOAN000376,CUST00376,37,Self-employed,908322,Abuja,487,Personal,1564223,23.51,36,53665.88,739924.45,824298.55,Active,20,6%,172%,1,3,1,2,2,9,Medium Risk
LOAN000377,CUST00377,45,Salaried,154093,Lagos,776,Education,1202726,21.8,12,122076.69,549932.06,652793.94,Active,0,79%,781%,3,1,1,3,1,9,Medium Risk
LOAN000378,CUST00378,23,Self-employed,1438357,Ibadan,850,Personal,1057321,8.99,6,192062.36,491844.94,565476.06,Active,20,13%,74%,1,1,1,1,2,6,Low Risk
LOAN000379,CUST00379,29,Self-employed,696663,Port Harcourt,672,Emergency,1037642,14.78,18,66166.97,931797.71,105844.29,Active,30,9%,149%,1,2,1,2,2,8,Medium Risk
LOAN000380,CUST00380,54,Salaried,824691,Lagos,734,Business,143568,10.27,24,6596.35,70706.19,72861.81,Active,20,1%,17%,1,1,1,1,1,5,Low Risk
LOAN000381,CUST00381,53,Salaried,1449782,Lagos,664,Emergency,1451193,11.88,36,45099.85,837786.27,613406.73,Active,10,3%,100%,1,2,1,2,1,7,Low Risk
LOAN000382,CUST00382,54,Salaried,1145934,Abuja,638,Emergency,1173055,18.74,24,58036.9,1407666,0,Closed,0,5%,102%,1,2,1,2,1,0,Loan Closed
LOAN000383,CUST00383,50,Salaried,676738,Kano,565,Business,1943261,22.08,6,395388.84,2127447.16,0,Closed,0,58%,287%,3,3,1,3,1,0,Loan Closed
LOAN000384,CUST00384,26,Unemployed,302249,Lagos,850,Emergency,991704,8.46,12,89633.51,733368.53,258335.47,Defaulted,114,30%,328%,1,1,11,3,3,19,High Risk
LOAN000385,CUST00385,38,Unemployed,214350,Lagos,850,Personal,963085,9.04,12,87512.32,541166.98,421918.02,Delinquent,47,41%,449%,3,1,5,3,3,15,High Risk
LOAN000386,CUST00386,62,Salaried,863902,Kano,582,Emergency,1207741,11.52,18,74826.26,1162240.06,45500.94,Active,0,9%,140%,1,3,1,2,1,8,Medium Risk
LOAN000387,CUST00387,24,Salaried,285969,Kano,766,Personal,360797,16.33,36,11658.75,339048.99,21748.01,Delinquent,37,4%,126%,1,1,5,2,1,10,Medium Risk
LOAN000388,CUST00388,54,Self-employed,649980,Kano,461,Emergency,1895778,11.88,24,88374.85,1775477.59,120300.41,Active,30,14%,292%,1,3,1,3,2,10,Medium Risk
LOAN000389,CUST00389,20,Salaried,128571,Ibadan,620,Education,895097,7.88,36,26823.07,476065.26,419031.74,Active,30,21%,696%,1,2,1,3,1,8,Medium Risk
LOAN000390,CUST00390,39,Salaried,1498112,Port Harcourt,724,Education,1613950,14.5,18,102665.15,1174422.95,439527.05,Delinquent,32,7%,108%,1,1,5,2,1,10,Medium Risk
LOAN000391,CUST00391,26,Self-employed,637929,Port Harcourt,489,Emergency,1849848,18.92,6,366639.87,1486001.95,363846.05,Defaulted,119,57%,290%,3,3,11,3,2,22,High Risk
LOAN000392,CUST00392,44,Salaried,722909,Ibadan,723,Education,924035,17.1,6,180340.83,798421.09,125613.91,Active,10,25%,128%,1,1,1,2,1,6,Low Risk
LOAN000393,CUST00393,29,Salaried,167872,Abuja,779,Business,383389,6.31,36,11321.69,351927,31462,Active,0,7%,228%,1,1,1,3,1,7,Low Risk
LOAN000394,CUST00394,63,Salaried,170853,Abuja,705,Education,1007242,6.01,18,59320.96,1007419.93,0,Closed,0,35%,590%,2,1,1,3,1,0,Loan Closed
LOAN000395,CUST00395,41,Self-employed,822489,Ibadan,450,Emergency,1109326,12.94,6,208812.13,808643.51,300682.49,Active,10,25%,135%,1,3,1,2,2,9,Medium Risk
LOAN000396,CUST00396,65,Unemployed,422419,Lagos,674,Education,1045271,16.74,18,67791.63,918673.49,126597.51,Active,20,16%,247%,1,2,1,3,3,10,Medium Risk
LOAN000397,CUST00397,32,Salaried,107567,Abuja,496,Education,391641,22.08,12,39842.94,325639.17,66001.83,Delinquent,72,37%,364%,2,3,5,3,1,14,High Risk
LOAN000398,CUST00398,59,Salaried,1416477,Abuja,776,Personal,92052,22.29,6,18761.73,39184.98,52867.02,Active,10,1%,6%,1,1,1,1,1,5,Low Risk
LOAN000399,CUST00399,40,Salaried,519279,Ibadan,731,Education,1738386,23.86,18,119620.27,1283160.86,455225.14,Active,30,23%,335%,1,1,1,3,1,7,Low Risk
LOAN000400,CUST00400,18,Salaried,507617,Kano,653,Education,1470183,15.41,36,47131.62,1115127.21,355055.79,Active,0,9%,290%,1,2,1,3,1,8,Medium Risk
LOAN000401,CUST00401,48,Self-employed,1227460,Lagos,588,Education,1327270,10.65,6,244770.71,1369059.28,0,Closed,0,20%,108%,1,3,1,2,2,0,Loan Closed
LOAN000402,CUST00402,21,Self-employed,629827,Kano,594,Emergency,1856678,10.54,18,114020.66,1446048.1,410629.9,Active,10,18%,295%,1,3,1,3,2,10,Medium Risk
LOAN000403,CUST00403,44,Salaried,1435232,Ibadan,612,Emergency,343453,19.43,24,17091.08,212821.04,130631.96,Defaulted,123,1%,24%,1,2,11,1,1,16,High Risk
LOAN000404,CUST00404,61,Salaried,124069,Kano,592,Emergency,1249659,21.32,18,84227.02,1020521.69,229137.31,Delinquent,45,68%,1007%,3,3,5,3,1,15,High Risk
LOAN000405,CUST00405,29,Salaried,1459010,Port Harcourt,542,Personal,679554,21.91,36,23012.34,765671.73,0,Closed,0,2%,47%,1,3,1,1,1,0,Loan Closed
LOAN000406,CUST00406,61,Salaried,1037299,Port Harcourt,597,Personal,592432,19.5,36,19665.45,411111.38,181320.62,Delinquent,42,2%,57%,1,3,5,1,1,11,Medium Risk
LOAN000407,CUST00407,39,Salaried,516099,Port Harcourt,673,Education,1610721,22.43,24,82166.91,1907244.05,0,Closed,0,16%,312%,1,2,1,3,1,0,Loan Closed
LOAN000408,CUST00408,58,Salaried,1278030,Kano,471,Personal,1835124,7.36,6,328364.85,1944411.8,0,Closed,0,26%,144%,1,3,1,2,1,0,Loan Closed
LOAN000409,CUST00409,21,Self-employed,1040316,Abuja,756,Business,1099577,7.4,24,49206.07,912775.45,186801.55,Active,30,5%,106%,1,1,1,2,2,7,Low Risk
LOAN000410,CUST00410,23,Salaried,470052,Ibadan,777,Education,1244125,22.86,24,63688.83,963805.22,280319.78,Active,10,14%,265%,1,1,1,3,1,7,Low Risk
LOAN000411,CUST00411,28,Unemployed,1373371,Kano,819,Business,707276,17.69,6,138732.19,420697.29,286578.71,Active,10,10%,51%,1,1,1,1,3,7,Low Risk
LOAN000412,CUST00412,45,Self-employed,1076717,Ibadan,606,Emergency,1685259,6.76,36,49977.29,2022310.8,0,Closed,0,5%,157%,1,2,1,2,2,0,Loan Closed
LOAN000413,CUST00413,18,Unemployed,949731,Port Harcourt,824,Business,853872,5.09,36,24925.95,526283.36,327588.64,Active,20,3%,90%,1,1,1,1,3,7,Low Risk
LOAN000414,CUST00414,62,Self-employed,87572,Port Harcourt,587,Education,1364257,19.67,12,136050.53,1637108.4,0,Closed,0,155%,1558%,3,3,1,3,2,0,Loan Closed
LOAN000415,CUST00415,37,Salaried,320387,Port Harcourt,616,Emergency,1105573,16.77,12,107581.47,689815.59,415757.41,Active,0,34%,345%,2,2,1,3,1,9,Medium Risk
LOAN000416,CUST00416,40,Salaried,1141123,Abuja,539,Business,758491,13.67,12,71848.06,262942.17,495548.83,Active,30,6%,66%,1,3,1,1,1,7,Low Risk
LOAN000417,CUST00417,55,Salaried,895973,Kano,557,Business,520435,19.54,12,51844,233549.25,286885.75,Active,0,6%,58%,1,3,1,1,1,7,Low Risk
LOAN000418,CUST00418,52,Salaried,308289,Kano,678,Personal,1414282,20.84,24,71209.1,1045995.24,368286.76,Delinquent,47,23%,459%,1,2,5,3,1,12,High Risk
LOAN000419,CUST00419,21,Unemployed,1295549,Lagos,530,Emergency,1438251,7.16,6,256871.63,1725901.2,0,Closed,0,20%,111%,1,3,1,2,3,0,Loan Closed
LOAN000420,CUST00420,31,Salaried,981794,Lagos,624,Education,1197734,10.05,12,109842.19,1251987.42,0,Closed,0,11%,122%,1,2,1,2,1,0,Loan Closed
LOAN000421,CUST00421,44,Self-employed,932631,Lagos,730,Personal,1439327,15.41,36,46142.42,1058136.91,381190.09,Active,10,5%,154%,1,1,1,2,2,7,Low Risk
LOAN000422,CUST00422,51,Salaried,642879,Abuja,695,Education,272851,14.95,36,8712.28,112737.5,160113.5,Active,20,1%,42%,1,2,1,1,1,6,Low Risk
LOAN000423,CUST00423,39,Salaried,909321,Abuja,709,Personal,132639,15.96,12,12817.35,106102.67,26536.33,Active,30,1%,15%,1,1,1,1,1,5,Low Risk
LOAN000424,CUST00424,23,Self-employed,76737,Kano,850,Personal,1951865,7.21,36,58127.62,1633224.2,318640.8,Active,10,76%,2544%,3,1,1,3,2,10,Medium Risk
LOAN000425,CUST00425,24,Unemployed,262421,Abuja,586,Personal,1401272,9.62,18,85337.46,782859.85,618412.15,Active,0,33%,534%,2,3,1,3,3,12,High Risk
LOAN000426,CUST00426,18,Salaried,659363,Abuja,583,Business,1469282,11.25,6,272429.37,827290.75,641991.25,Active,0,41%,223%,3,3,1,3,1,11,Medium Risk
LOAN000427,CUST00427,41,Salaried,739251,Port Harcourt,792,Business,967953,24.1,18,66734.98,540876.52,427076.48,Delinquent,36,9%,131%,1,1,5,2,1,10,Medium Risk
LOAN000428,CUST00428,62,Salaried,288723,Ibadan,581,Emergency,1007431,10.44,24,46358.62,1184891.25,0,Closed,0,16%,349%,1,3,1,3,1,0,Loan Closed
LOAN000429,CUST00429,24,Self-employed,1410729,Ibadan,706,Emergency,399760,7.26,6,71463.76,199997.26,199762.74,Defaulted,110,5%,28%,1,1,11,1,2,16,High Risk
LOAN000430,CUST00430,48,Self-employed,1243160,Ibadan,725,Personal,430130,17.23,18,28013.41,251339.19,178790.81,Active,10,2%,35%,1,1,1,1,2,6,Low Risk
LOAN000431,CUST00431,60,Salaried,912525,Port Harcourt,468,Personal,182825,10.23,18,11196,148248.57,34576.43,Active,10,1%,20%,1,3,1,1,1,7,Low Risk
LOAN000432,CUST00432,27,Self-employed,957747,Kano,850,Personal,571303,14.64,24,27289.24,685563.6,0,Closed,0,3%,60%,1,1,1,1,2,0,Loan Closed
LOAN000433,CUST00433,28,Self-employed,74421,Lagos,603,Emergency,379100,15.11,24,18182.58,214632.54,164467.46,Delinquent,86,24%,509%,1,2,5,3,2,13,High Risk
LOAN000434,CUST00434,43,Salaried,722417,Abuja,690,Personal,633337,6.01,12,55950.05,529317.49,104019.51,Active,30,8%,88%,1,2,1,1,1,6,Low Risk
LOAN000435,CUST00435,49,Salaried,1012791,Lagos,850,Personal,1251741,13.96,24,59436.84,1186103.81,65637.19,Active,0,6%,124%,1,1,1,2,1,6,Low Risk
LOAN000436,CUST00436,58,Salaried,896074,Port Harcourt,554,Business,1218388,15.98,6,235514.4,849113.89,369274.11,Delinquent,70,26%,136%,1,3,5,2,1,12,High Risk
LOAN000437,CUST00437,47,Self-employed,1422787,Port Harcourt,562,Emergency,764823,12.27,6,143111.13,257136.73,507686.27,Delinquent,85,10%,54%,1,3,5,1,2,12,High Risk
LOAN000438,CUST00438,58,Salaried,1428179,Port Harcourt,850,Education,999029,7.28,12,89313.19,739343.31,259685.69,Active,20,6%,70%,1,1,1,1,1,5,Low Risk
LOAN000439,CUST00439,30,Salaried,272973,Lagos,676,Emergency,394258,14.85,24,18866.89,234471.78,159786.22,Active,10,7%,144%,1,2,1,2,1,7,Low Risk
LOAN000440,CUST00440,20,Salaried,502123,Kano,792,Personal,1688757,8.81,18,102085.36,1258247.47,430509.53,Active,30,20%,336%,1,1,1,3,1,7,Low Risk
LOAN000441,CUST00441,49,Salaried,994776,Lagos,586,Personal,1285885,24.12,12,133003.37,1543062,0,Closed,0,13%,129%,1,3,1,2,1,0,Loan Closed
LOAN000442,CUST00442,29,Unemployed,1210199,Kano,775,Business,1809124,16.7,36,58645.77,1091206.01,717917.99,Delinquent,89,5%,149%,1,1,5,2,3,12,High Risk
LOAN000443,CUST00443,44,Salaried,319236,Kano,850,Business,1428923,17.01,18,92887.93,1364003.38,64919.62,Active,30,29%,448%,1,1,1,3,1,7,Low Risk
LOAN000444,CUST00444,44,Salaried,623772,Kano,606,Education,769027,24.41,24,39864.44,711487.21,57539.79,Delinquent,39,6%,123%,1,2,5,2,1,11,Medium Risk
LOAN000445,CUST00445,31,Self-employed,1198832,Kano,783,Education,1542908,19.74,36,51318.83,1430578.82,112329.18,Active,10,4%,129%,1,1,1,2,2,7,Low Risk
LOAN000446,CUST00446,63,Salaried,1489928,Lagos,710,Education,1460069,7.65,12,130980.36,1454439.93,5629.07,Active,20,9%,98%,1,1,1,1,1,5,Low Risk
LOAN000447,CUST00447,61,Salaried,1229187,Kano,790,Education,1246715,23.85,24,64335.69,1333988.05,0,Closed,0,5%,101%,1,1,1,2,1,0,Loan Closed
LOAN000448,CUST00448,27,Self-employed,935808,Lagos,727,Personal,1146244,7.13,24,51165.47,1334970.44,0,Closed,0,5%,122%,1,1,1,2,2,0,Loan Closed
LOAN000449,CUST00449,21,Salaried,469225,Port Harcourt,667,Business,1697380,8.22,18,102050.26,1187936.13,509443.87,Active,10,22%,362%,1,2,1,3,1,8,Medium Risk
LOAN000450,CUST00450,61,Salaried,1184920,Kano,551,Business,1757136,14.05,36,55667.04,1953852.1,0,Closed,0,5%,148%,1,3,1,2,1,0,Loan Closed
LOAN000451,CUST00451,42,Salaried,1407107,Ibadan,602,Emergency,548273,15.22,18,35095.56,471844.84,76428.16,Active,0,2%,39%,1,2,1,1,1,6,Low Risk
LOAN000452,CUST00452,32,Salaried,1486861,Port Harcourt,803,Business,1207889,6.08,18,71184.93,916332.92,291556.08,Active,30,5%,81%,1,1,1,1,1,5,Low Risk
LOAN000453,CUST00453,65,Salaried,455794,Kano,655,Personal,422089,24.67,6,87703.06,340764.99,81324.01,Active,10,19%,93%,1,2,1,1,1,6,Low Risk
LOAN000454,CUST00454,18,Salaried,841042,Port Harcourt,739,Emergency,635340,16.13,12,61485.03,217313.7,418026.3,Active,20,7%,76%,1,1,1,1,1,5,Low Risk
LOAN000455,CUST00455,57,Salaried,374651,Port Harcourt,850,Emergency,1997474,11.45,6,371030.8,1884906.86,112567.14,Delinquent,71,99%,533%,3,1,5,3,1,13,High Risk
LOAN000456,CUST00456,51,Salaried,1250990,Lagos,676,Business,202842,20.68,18,13599.43,133402.39,69439.61,Active,10,1%,16%,1,2,1,1,1,6,Low Risk
LOAN000457,CUST00457,39,Salaried,922271,Port Harcourt,839,Education,896026,6.84,12,79776.18,739055.78,156970.22,Delinquent,73,9%,97%,1,1,5,1,1,9,Medium Risk
LOAN000458,CUST00458,18,Salaried,665670,Lagos,683,Education,1628433,17.37,24,79637.16,1174770.03,453662.97,Defaulted,173,12%,245%,1,2,11,3,1,18,High Risk
LOAN000459,CUST00459,61,Salaried,984631,Port Harcourt,672,Emergency,1396925,17.27,36,45504.83,1302449.5,94475.5,Active,0,5%,142%,1,2,1,2,1,7,Low Risk
LOAN000460,CUST00460,50,Salaried,287762,Kano,673,Emergency,1182959,19.48,6,235566.57,728785.45,454173.55,Defaulted,137,82%,411%,3,2,11,3,1,20,High Risk
LOAN000461,CUST00461,50,Salaried,1070903,Lagos,526,Personal,1933833,18.03,18,126805.73,2073242.1,0,Closed,0,12%,181%,1,3,1,2,1,0,Loan Closed
LOAN000462,CUST00462,60,Unemployed,401052,Abuja,565,Emergency,1671766,15.76,6,322539.39,1320512.75,351253.25,Active,10,80%,417%,3,3,1,3,3,13,High Risk
LOAN000463,CUST00463,59,Salaried,267950,Lagos,467,Business,1788011,19.05,24,88692.8,1982035.21,0,Closed,0,33%,667%,2,3,1,3,1,0,Loan Closed
LOAN000464,CUST00464,53,Salaried,99813,Lagos,695,Business,745657,5.76,6,131434.47,434213.55,311443.45,Active,20,132%,747%,3,2,1,3,1,10,Medium Risk
LOAN000465,CUST00465,38,Salaried,592424,Lagos,642,Emergency,996079,17.6,24,48807.87,1195294.8,0,Closed,0,8%,168%,1,2,1,2,1,0,Loan Closed
LOAN000466,CUST00466,62,Salaried,1462009,Lagos,850,Education,62370,17.83,36,2041.4,36389.16,25980.84,Active,0,0%,4%,1,1,1,1,1,5,Low Risk
LOAN000467,CUST00467,42,Salaried,1104525,Ibadan,386,Personal,1700231,18.72,36,56069.84,536585.81,1163645.19,Active,30,5%,154%,1,3,1,2,1,8,Medium Risk
LOAN000468,CUST00468,52,Salaried,1044024,Port Harcourt,589,Business,511091,7.73,24,22941.6,450784.48,60306.52,Delinquent,85,2%,49%,1,3,5,1,1,11,Medium Risk
LOAN000469,CUST00469,53,Self-employed,675069,Kano,735,Business,1967151,24.31,18,135853.63,872687.5,1094463.5,Defaulted,91,20%,291%,1,1,11,3,2,18,High Risk
LOAN000470,CUST00470,37,Salaried,308442,Abuja,582,Education,1251077,16.93,36,40635.68,1029811.79,221265.21,Active,0,13%,406%,1,3,1,3,1,9,Medium Risk
LOAN000471,CUST00471,57,Salaried,494044,Port Harcourt,754,Business,1404616,22.03,12,142837.74,513961.19,890654.81,Active,10,29%,284%,1,1,1,3,1,7,Low Risk
LOAN000472,CUST00472,47,Salaried,290380,Kano,638,Personal,1727008,16.35,6,334895.63,1632126.79,94881.21,Delinquent,66,115%,595%,3,2,5,3,1,14,High Risk
LOAN000473,CUST00473,49,Self-employed,659542,Port Harcourt,521,Education,575730,6.96,36,17105.58,690876,0,Closed,0,3%,87%,1,3,1,1,2,0,Loan Closed
LOAN000474,CUST00474,38,Self-employed,318886,Ibadan,566,Emergency,541851,7,36,16105.02,158406.05,383444.95,Active,10,5%,170%,1,3,1,2,2,9,Medium Risk
LOAN000475,CUST00475,38,Self-employed,738591,Ibadan,679,Business,691047,18.87,12,68453.96,508834.63,182212.37,Active,20,9%,94%,1,2,1,1,2,7,Low Risk
LOAN000476,CUST00476,26,Salaried,60133,Port Harcourt,692,Emergency,1697648,9.43,24,77405.68,1150375.83,547272.17,Active,20,129%,2823%,3,2,1,3,1,10,Medium Risk
LOAN000477,CUST00477,35,Salaried,1020663,Abuja,823,Business,1674804,11.11,36,51690.96,627278.03,1047525.97,Active,0,5%,164%,1,1,1,2,1,6,Low Risk
